dataset,feature_name,reporting_name,block,variable_type,candidate_status,behavioural_reason,history_definition,nonmissing_training,missing_fraction_training,numeric_redundancy_hits_abs_rho_ge_0p80,categorical_redundancy_hits_v_ge_0p80,cross_type_hits_eta2_ge_0p50,recommended_action,recommended_reason,user_decision,user_note,final_action
individual,current_x_m,current_x_m,individual_motion,numeric,candidate,Position along the waiting boundary may reflect crossing opportunity,smoothed value at decision time,28139,0.0,,,0,retain_for_preranking_candidate_review,Recommendation is provisional; user review is required before ranking.,,,
individual,distance_to_crossing_line_m,distance_to_crossing_line_m,individual_motion,numeric,candidate,Smaller distance means the pedestrian is nearer crossing onset,positive distance from current y to y=0,28139,0.0,,,0,retain_for_preranking_candidate_review,Recommendation is provisional; user review is required before ranking.,,,
individual,current_vx_mps,current_vx_mps,individual_motion,numeric,candidate,Lateral motion may indicate movement along the boundary rather than crossing,smoothed value at decision time,28139,0.0,,,0,retain_for_preranking_candidate_review,Recommendation is provisional; user review is required before ranking.,,,
individual,current_vy_mps,current_vy_mps,individual_motion,numeric,candidate,Positive forward motion is direct evidence of approaching the road,smoothed value at decision time,28139,0.0,,,0,retain_for_preranking_candidate_review,Recommendation is provisional; user review is required before ranking.,,,
individual,current_speed_mps,current_speed_mps,individual_motion,numeric,candidate,Separates stationary waiting from active movement,smoothed value at decision time,28139,0.0,,,0,retain_for_preranking_candidate_review,Recommendation is provisional; user review is required before ranking.,,,
individual,history_mean_vx_mps,history_mean_vx_mps,individual_motion,numeric,candidate,Stable lateral movement reduces frame-level jitter,mean across previous 2 s,28139,0.0,history_x_displacement_m:0.995|dbscan_history_mean_vx_mps:0.867,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,history_mean_vy_mps,history_mean_vy_mps,individual_motion,numeric,candidate,Stable forward movement is expected to indicate crossing preparation,mean across previous 2 s,28139,0.0,history_y_displacement_m:0.991|dbscan_history_mean_vy_mps:0.860,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,history_mean_speed_mps,history_mean_speed_mps,individual_motion,numeric,candidate,Represents general activity over the observation period,mean across previous 2 s,28139,0.0,dbscan_history_mean_speed_mps:0.914|window_low_speed_fraction:-0.885|history_speed_std_mps:0.876,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,history_speed_std_mps,history_speed_std_mps,individual_motion,numeric,candidate,Stop-start behaviour may indicate hesitation or preparation,standard deviation across previous 2 s,28139,0.0,history_mean_speed_mps:0.876,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,history_vy_slope_mps2,history_vy_slope_mps2,individual_motion,numeric,candidate,Increasing forward velocity may indicate developing intention,linear slope of vy across previous 2 s,28139,0.0,,,0,retain_for_preranking_candidate_review,Recommendation is provisional; user review is required before ranking.,,,
individual,history_x_displacement_m,history_x_displacement_m,individual_motion,numeric,candidate,Measures net movement along the waiting boundary,last x minus first x over previous 2 s,28139,0.0,history_mean_vx_mps:0.995|dbscan_history_mean_vx_mps:0.864,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,history_y_displacement_m,history_y_displacement_m,individual_motion,numeric,candidate,Measures net movement toward or away from crossing onset,last y minus first y over previous 2 s,28139,0.0,history_mean_vy_mps:0.991|dbscan_history_mean_vy_mps:0.854,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,window_low_speed_fraction,window_low_speed_fraction,individual_waiting,numeric,candidate,Quantifies recent stationary waiting rather than one-frame speed,fraction of previous 2 s at speed <=0.5 m/s,28139,0.0,history_mean_speed_mps:-0.885|waiting_low_speed_time_sec:0.858|dbscan_history_mean_speed_mps:-0.823,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,waiting_band_dwell_sec,waiting_band_dwell_sec,individual_waiting,numeric,candidate,Longer waiting may change crossing acceptance behaviour,causal duration inside active-area band -2<=y<0,28139,0.0,waiting_low_speed_time_sec:0.896,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,waiting_low_speed_time_sec,low_velocity_total_waiting_time_sec,individual_waiting,numeric,sensitivity_only,Tests whether cumulative low-velocity waiting beyond the fixed 2 s history affects crossing intention,causal cumulative low-speed time in current waiting episode,28139,0.0,waiting_band_dwell_sec:0.896|window_low_speed_fraction:0.858,,0,retain_sensitivity_only_outside_fixed_2s_history,Recommendation is provisional; user review is required before ranking.,,,
individual,gender,gender,individual_demography,categorical,candidate,Individual demographic differences are an explanatory research question,best track-level gender label,28139,0.0,,,0,retain_for_preranking_candidate_review,Recommendation is provisional; user review is required before ranking.,,,
individual,age_group,age_group,individual_demography,categorical,candidate,Age category may influence movement and gap acceptance,best track-level age group,28139,0.0,,,0,retain_for_preranking_candidate_review,Recommendation is provisional; user review is required before ranking.,,,
individual,history_observed_fraction,history_observed_fraction,data_quality,numeric,candidate,Allows the model audit to quantify occlusion and reconstruction quality,fraction of expected 10 Hz history directly observed,28139,0.0,history_max_unobserved_gap_sec:-0.996|history_interpolated_fraction:-0.873,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,history_interpolated_fraction,history_interpolated_fraction,data_quality,numeric,candidate,Tests whether reconstructed observations influence predictions,fraction of expected history reconstructed,28139,0.0,history_observed_fraction:-0.873|history_max_unobserved_gap_sec:0.860,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,history_max_unobserved_gap_sec,history_max_unobserved_gap_sec,data_quality,numeric,candidate,Large occlusions may make intention less reliable,longest missing interval in previous 2 s,28139,0.0,history_observed_fraction:-0.996|history_interpolated_fraction:0.860,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,active_vehicle_count,active_vehicle_count,traffic_context,count,candidate,Represents overall traffic exposure,count of vehicles inside vehicle active area at decision time,28139,0.0,,,0,retain_for_preranking_candidate_review,Recommendation is provisional; user review is required before ranking.,,,
individual,approaching_vehicle_count,approaching_vehicle_count,traffic_context,count,candidate,Represents immediate approaching traffic pressure,count of relevant active vehicles with closing motion,28139,0.0,,,0,retain_for_preranking_candidate_review,Recommendation is provisional; user review is required before ranking.,,,
individual,stopped_vehicle_count,stopped_vehicle_count,traffic_context,count,candidate,Stopped vehicles may permit or obstruct crossing,count of active vehicles below stopped-speed threshold,28139,0.0,veh2_speed_mps:-0.807|veh1_speed_mps:-0.803,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,veh1_present,veh1_present,ranked_vehicle_context,binary,candidate,Absence of a relevant vehicle is itself informative,current presence for each of three ranked vehicles,28139,0.0,,veh1_class:1.000,0,retain_only_if_required_by_selected_parent_vehicle_feature,Recommendation is provisional; user review is required before ranking.,,,
individual,veh2_present,veh2_present,ranked_vehicle_context,binary,candidate,Absence of a relevant vehicle is itself informative,current presence for each of three ranked vehicles,28139,0.0,,veh2_class:1.000,1,retain_only_if_required_by_selected_parent_vehicle_feature,Recommendation is provisional; user review is required before ranking.,,,
individual,veh3_present,veh3_present,ranked_vehicle_context,binary,candidate,Absence of a relevant vehicle is itself informative,current presence for each of three ranked vehicles,28139,0.0,,veh3_class:1.000,2,retain_only_if_required_by_selected_parent_vehicle_feature,Recommendation is provisional; user review is required before ranking.,,,
individual,veh1_lateral_x_m,veh1_lateral_x_m,ranked_vehicle_context,numeric,candidate,Lateral position indicates whether a vehicle aligns with the pedestrian crossing path,current vehicle x in vehicle coordinates,26792,0.0478695049575322,,,0,retain_for_preranking_candidate_review,Recommendation is provisional; user review is required before ranking.,,,
individual,veh2_lateral_x_m,veh2_lateral_x_m,ranked_vehicle_context,numeric,candidate,Lateral position indicates whether a vehicle aligns with the pedestrian crossing path,current vehicle x in vehicle coordinates,25253,0.1025622801094566,,,0,retain_for_preranking_candidate_review,Recommendation is provisional; user review is required before ranking.,,,
individual,veh3_lateral_x_m,veh3_lateral_x_m,ranked_vehicle_context,numeric,candidate,Lateral position indicates whether a vehicle aligns with the pedestrian crossing path,current vehicle x in vehicle coordinates,23634,0.1600980845090444,,,0,retain_for_preranking_candidate_review,Recommendation is provisional; user review is required before ranking.,,,
individual,veh1_front_y_m,veh1_front_y_m,ranked_vehicle_context,numeric,candidate,Vehicle y approximately represents forward distance to the conflict reference,current nonnegative vehicle y in vehicle coordinates,26792,0.0478695049575322,veh1_history_mean_front_y_m:0.883,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,veh2_front_y_m,veh2_front_y_m,ranked_vehicle_context,numeric,candidate,Vehicle y approximately represents forward distance to the conflict reference,current nonnegative vehicle y in vehicle coordinates,25253,0.1025622801094566,veh2_history_mean_front_y_m:0.887,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,veh3_front_y_m,veh3_front_y_m,ranked_vehicle_context,numeric,candidate,Vehicle y approximately represents forward distance to the conflict reference,current nonnegative vehicle y in vehicle coordinates,23634,0.1600980845090444,veh3_history_mean_front_y_m:0.871,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,veh1_speed_mps,veh1_speed_mps,ranked_vehicle_context,numeric,candidate,Faster vehicles may reduce acceptable crossing opportunities,current smoothed vehicle speed,26557,0.0562209033725434,veh1_closing_speed_mps:0.869|veh1_history_front_y_change_m:-0.805|stopped_vehicle_count:-0.803|veh1_ttc_capped_sec:-0.801,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,veh2_speed_mps,veh2_speed_mps,ranked_vehicle_context,numeric,candidate,Faster vehicles may reduce acceptable crossing opportunities,current smoothed vehicle speed,25003,0.1114467465084047,veh2_closing_speed_mps:0.895|veh2_history_front_y_change_m:-0.836|stopped_vehicle_count:-0.807|veh2_ttc_capped_sec:-0.803,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,veh3_speed_mps,veh3_speed_mps,ranked_vehicle_context,numeric,candidate,Faster vehicles may reduce acceptable crossing opportunities,current smoothed vehicle speed,23455,0.1664593624506912,veh3_closing_speed_mps:0.925|veh3_history_front_y_change_m:-0.869|veh3_ttc_capped_sec:-0.819,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,veh1_closing_speed_mps,veh1_closing_speed_mps,ranked_vehicle_context,numeric,candidate,Closing speed directly represents approach toward the conflict reference,max of zero and negative vehicle vy,26792,0.0478695049575322,veh1_speed_mps:0.869|veh1_history_front_y_change_m:-0.849|veh1_ttc_capped_sec:-0.829,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,veh2_closing_speed_mps,veh2_closing_speed_mps,ranked_vehicle_context,numeric,candidate,Closing speed directly represents approach toward the conflict reference,max of zero and negative vehicle vy,25253,0.1025622801094566,veh2_speed_mps:0.895|veh2_history_front_y_change_m:-0.868|veh2_ttc_capped_sec:-0.825,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,veh3_closing_speed_mps,veh3_closing_speed_mps,ranked_vehicle_context,numeric,candidate,Closing speed directly represents approach toward the conflict reference,max of zero and negative vehicle vy,23634,0.1600980845090444,veh3_speed_mps:0.925|veh3_history_front_y_change_m:-0.882|veh3_ttc_capped_sec:-0.831,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
