dataset,feature_name,reporting_name,block,variable_type,candidate_status,behavioural_reason,history_definition,nonmissing_training,missing_fraction_training,numeric_redundancy_hits_abs_rho_ge_0p80,categorical_redundancy_hits_v_ge_0p80,cross_type_hits_eta2_ge_0p50,recommended_action,recommended_reason,user_decision,user_note,final_action
group_snapshot,location_id,location_id,analysis_control,categorical,subgroup_analysis_only,Used for subgroup analysis rather than the primary behavioural model.,,3691,0.0,,,0,retain_subgroup_only,Recommendation is provisional; user review is required before ranking.,,,
group_snapshot,traffic_period,traffic_period,analysis_control,categorical,subgroup_analysis_only,Used for subgroup analysis rather than the primary behavioural model.,,3691,0.0,,,0,retain_subgroup_only,Recommendation is provisional; user review is required before ranking.,,,
group_snapshot,raw_group_size,raw_group_size,group_structure,numeric,theory_mandatory,Group size and eligible composition may affect collective crossing initiation.,,3691,0.0,,,0,retain_explanatory_block_for_separate_validation,Recommendation is provisional; user review is required before ranking.,,,
group_snapshot,raw_waiting_band_eligible_member_count,raw_waiting_band_eligible_member_count,group_structure,numeric,candidate,Group size and eligible composition may affect collective crossing initiation.,,3691,0.0,cohort_eligible_member_count:1.000,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
group_snapshot,cohort_eligible_member_count,cohort_eligible_member_count,group_structure,numeric,candidate,Group size and eligible composition may affect collective crossing initiation.,,3691,0.0,raw_waiting_band_eligible_member_count:1.000,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
group_snapshot,eligible_member_fraction_of_group,eligible_member_fraction_of_group,group_structure,numeric,candidate,Group size and eligible composition may affect collective crossing initiation.,,3691,0.0,,,0,retain_for_preranking_candidate_review,Recommendation is provisional; user review is required before ranking.,,,
group_snapshot,dbscan_centroid_x_m,dbscan_centroid_x_m,analysis_control,numeric,subgroup_analysis_only,Used for subgroup analysis rather than the primary behavioural model.,,3691,0.0,,,0,retain_subgroup_only,Recommendation is provisional; user review is required before ranking.,,,
group_snapshot,dbscan_centroid_y_m,dbscan_centroid_y_m,group_motion,numeric,candidate,Current DBSCAN geometry and motion describe the time-local group state.,,3691,0.0,member_distance_to_crossing_line_m_mean:-0.959|member_distance_to_crossing_line_m_min:-0.940|member_distance_to_crossing_line_m_max:-0.921,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
group_snapshot,dbscan_spread_m,dbscan_spread_m,group_motion,numeric,candidate,Current DBSCAN geometry and motion describe the time-local group state.,,3691,0.0,,,0,retain_for_preranking_candidate_review,Recommendation is provisional; user review is required before ranking.,,,
group_snapshot,dbscan_mean_vx_mps,dbscan_mean_vx_mps,group_motion,numeric,candidate,Current DBSCAN geometry and motion describe the time-local group state.,,3691,0.0,,,0,retain_for_preranking_candidate_review,Recommendation is provisional; user review is required before ranking.,,,
group_snapshot,dbscan_mean_vy_mps,dbscan_mean_vy_mps,group_motion,numeric,candidate,Current DBSCAN geometry and motion describe the time-local group state.,,3691,0.0,member_current_vy_mps_mean:0.808,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
group_snapshot,dbscan_mean_speed_mps,dbscan_mean_speed_mps,group_motion,numeric,candidate,Current DBSCAN geometry and motion describe the time-local group state.,,3691,0.0,member_current_speed_mps_mean:0.865|member_current_speed_mps_max:0.818,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
group_snapshot,group_male_ratio,group_male_ratio,group_demography,numeric,theory_mandatory,Group demographic composition is a prespecified explanatory hypothesis.,,3691,0.0,,,0,retain_explanatory_block_for_separate_validation,Recommendation is provisional; user review is required before ranking.,,,
group_snapshot,group_female_ratio,group_female_ratio,group_demography,numeric,theory_mandatory,Group demographic composition is a prespecified explanatory hypothesis.,,3691,0.0,,,0,retain_explanatory_block_for_separate_validation,Recommendation is provisional; user review is required before ranking.,,,
group_snapshot,group_unknown_gender_ratio,group_unknown_gender_ratio,group_demography,numeric,reference_not_jointly_encoded,Group demographic composition is a prespecified explanatory hypothesis.,,3691,0.0,,,0,retain_reporting_reference_not_joint_input,Recommendation is provisional; user review is required before ranking.,,,
group_snapshot,group_young_ratio,group_young_ratio,group_demography,numeric,theory_mandatory,Group demographic composition is a prespecified explanatory hypothesis.,,3691,0.0,,,0,retain_explanatory_block_for_separate_validation,Recommendation is provisional; user review is required before ranking.,,,
group_snapshot,group_adult_ratio,group_adult_ratio,group_demography,numeric,theory_mandatory,Group demographic composition is a prespecified explanatory hypothesis.,,3691,0.0,,,0,retain_explanatory_block_for_separate_validation,Recommendation is provisional; user review is required before ranking.,,,
group_snapshot,group_old_ratio,group_old_ratio,group_demography,numeric,theory_mandatory,Group demographic composition is a prespecified explanatory hypothesis.,,3691,0.0,,,0,retain_explanatory_block_for_separate_validation,Recommendation is provisional; user review is required before ranking.,,,
group_snapshot,group_unknown_age_ratio,group_unknown_age_ratio,group_demography,numeric,reference_not_jointly_encoded,Group demographic composition is a prespecified explanatory hypothesis.,,3691,0.0,,,0,retain_reporting_reference_not_joint_input,Recommendation is provisional; user review is required before ranking.,,,
group_snapshot,member_distance_to_crossing_line_m_mean,member_distance_to_crossing_line_m_mean,member_motion,numeric,candidate,Aggregated eligible-member motion may indicate whether any member is preparing to cross.,,3691,0.0,member_distance_to_crossing_line_m_min:0.978|member_distance_to_crossing_line_m_max:0.965|dbscan_centroid_y_m:-0.959,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
group_snapshot,member_distance_to_crossing_line_m_min,member_distance_to_crossing_line_m_min,member_motion,numeric,candidate,Aggregated eligible-member motion may indicate whether any member is preparing to cross.,,3691,0.0,member_distance_to_crossing_line_m_mean:0.978|dbscan_centroid_y_m:-0.940|member_distance_to_crossing_line_m_max:0.898,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
group_snapshot,member_distance_to_crossing_line_m_max,member_distance_to_crossing_line_m_max,member_motion,numeric,candidate,Aggregated eligible-member motion may indicate whether any member is preparing to cross.,,3691,0.0,member_distance_to_crossing_line_m_mean:0.965|dbscan_centroid_y_m:-0.921|member_distance_to_crossing_line_m_min:0.898,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
group_snapshot,member_current_vy_mps_mean,member_current_vy_mps_mean,member_motion,numeric,candidate,Aggregated eligible-member motion may indicate whether any member is preparing to cross.,,3691,0.0,member_current_vy_mps_min:0.857|member_current_vy_mps_max:0.851|dbscan_mean_vy_mps:0.808,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
group_snapshot,member_current_vy_mps_min,member_current_vy_mps_min,member_motion,numeric,candidate,Aggregated eligible-member motion may indicate whether any member is preparing to cross.,,3691,0.0,member_current_vy_mps_mean:0.857,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
